job_title,Status,Publicatiedatum,Weergaven,Reacties,Inschrijven voor,Op locatie,Startdatum,Looptijd,Aantal uur,Tarief,Contract,description,Geregistreerd sinds,Privacy partner,Recruiters,Opdrachten,Laatste review,Geplaatst door,Eindklant,Referentie,Privacy officer(s)
Senior DevOps Engineer,Open (sinds 22-05-2023 20:37),22-05-2023 20:37,4 ingelogde gebruikers,0 reacties,30-08-2023,"Ja, Amsterdam",Zo snel mogelijk,2 jaar  (optie tot verlenging),36 - 40,Marktconform,Freelance / ad interim,"As a preferred supplier to one of the biggest clients, I am seeking a Senior Devops Engineer with experience in Red hat Linux in Netherlands (Amsterdam) for a long term contract",,,,,,,,,
SAP BI Analist,Open (sinds 22-05-2023 17:36),22-05-2023 17:36,11 ingelogde gebruikers,0 reacties,30-05-2023,"In overleg, Groningen",Zo snel mogelijk,5 maanden,36,Marktconform,Freelance / ad interim,"Business intelligence/ data analyse is erop gericht informatie te verzamelen en te analyseren teneinde beslissingsondersteunende informatie te verkrijgen. De BI/data-specialist is een functie die sterk in ontwikkeling is als gevolg van de toegevoegde waarde van datamining (big-data. De BI/data-specialist analyseert behoeften aan (strategische of tactische) managementinformatie en stelt query’s op waarmee datamining wordt gerealiseerd en waarmee de gevraagde informatie kan worden gepresenteerd. In het kader van project GABI (Gegevens, Analytics, Business Intelligence) is er nader onderzoek nodig naar de vervanging van SAP FrontEnd (BUsinessObjects). De complicerende factor die hierbij meegenomen moet worden is de daaropvolgende upgrade van SAP naar SAP HANA (SAP4HANA), die voor wijzigingen in de SAP BackEnd (DataWarehouse) zal zorgen. Het DUO organisatieonderdeel wat hierdoor geraakt wordt is het zgn. Bedrijfsinformatie Compentence Center (BICC) Nadere analyse is nodig van welke onderdelen er geraakt worden (zowel vanuit GABI als vanuit SAP 4HANA) en wat de best passende SAP oplossing hiervoor is. Merk op dat BICC naast SAP ook veel rapportages vanuit andere bronsystemen verzorgt (ong. 70%). Opdracht bestaat uit volgende onderdelen Onderzoek van huidige SAP BI omgevingInzicht van de impact van projecten GABI en SAP4HANAAnalyse standaard beschikbare SAP bouwblokken (zng. Business content) binnen SAP BI op / binnen HANAAdvies over best passende oplossing / te volgen scenario vanuit SAP perspectief (balans tussen mogelijkheden, BICC continuïteit, kosten, flexibiliteit, robuustheid oplossing etc.) Functie-eisenHBO werk- en denkniveau;Recente werkervaring als SAP BI Analist(>5 jaar)Aantoonbare SAP BI op HANA expertise (FrontEnd / rapportage/ dashboarding technologie / etc.)Aantoonbare SAP BI op HANA expertise (BackEnd / Datawarehousing/ ETL/ etc.) Aanvullende kennisgebieden/ opleidingen Business Information Management Foundation, TOGAF practitioner, Ontwikkeling Informatiesystemen Foundation, Object Oriëntatie Foundation, Bachelor Bedrijfskundige Informatica, Python Fundamentals / Advanced CompetentiesJe bent analytisch en resultaatgerichtJe beheerst de Nederlandse taal in woord en geschriftJe hebt een goede omgevingsbewustzijnJe hebt overtuigingskrachtJe bent resultaatgerichtArbeidsvoorwaarden Deze rol staat ook open voor ZZP-ers en doorleen kandidaten.De opdracht loopt van 01-07-2023 tot en met 31-12-2023 en op deze rol kan tot 30-05 gereageerd worden. BedrijfsinformatieDUO verzorgt als uitvoeringsorganisatie, zijnde onderdeel van het Ministerie van Onderwijs, Cultuur en Wetenschap de uitvoering van complexe wet- en regelgeving en heeft een uitgebreid dienstenpakket. DUO financiert en informeert onderwijsdeelnemers en onderwijsinstellingen.",24 maart 2015,-,122,105 / 12774,Prettig contact. Eén van de fijnere bureaus om mee samen te werken,Rachid El Mokhtari,DUO,9133977,
Data Analyst,Open (sinds 22-05-2023 17:01),22-05-2023 17:01,22 ingelogde gebruikers,0 reacties,25-05-2023,"Ja, Schiphol",Zo snel mogelijk,7 maanden  (optie tot verlenging),32,in overleg,Freelance / ad interim,"For our client, based in Amsterdam region , we are looking forRoleData Analyst Reference number2023-134 Start date01-06-2023 Duration31-12-2023 ",,,,,,,,2023-134,
Interim Data Analist,Open (sinds 22-05-2023 16:56),22-05-2023 16:56,19 ingelogde gebruikers,0 reacties,,"Ja, Amsterdam",Zo snel mogelijk,6 maanden  (optie tot verlenging),32 - 40,per uur,Freelance / ad interim,Interim Data Analist gezocht! | Omgeving Amsterdam | 32 tot 40 uur per week | Looptijd van minimaal 6 maanden + intentie tot verlenging | Grotendeels remote werken mogelijk,,,,,,,,,
Azure Data Engineer SQL Python,Open (sinds 22-05-2023 15:32),22-05-2023 15:32,31 ingelogde gebruikers,0 reacties,,"Ja, Utrecht",Zo snel mogelijk,6 - 12 maanden,32 - 40,in overleg,Freelance / ad interim,"AZURE DATA ENGINEER PYTHON SQLUTRECHT 1 DAY IN THE OFFICE HYBRID1 YEAR CONTRACT WITH EXTENSION AFTER THIS FOR MAX 3 YEARS *Only specialists who are open to work on Payroll are an option. We can not work with consultancies for this one.Only specialists living in the EU are an option for this roleAmoria Bond is seeking an experienced and collaborative Azure Data Engineer to join our client's inclusive and thriving team. This Data Specialist role is for a contract until the end of the year with the possibility of extension for up to 3 years. This position is based in Utrecht and offers the chance to be part of a positive and diverse workplace culture. As a Data Engineer, you will work in a top financial institution that is improving its data landscape. You will start a project in the company for a max period of 3 years. The client is looking for a Data Engineer who is strong with Azure Cloud tooling, SQL and different Database formats. Next to that it is very important that the Data Engineer has experience working with Financial Data. Also be able to work with sensitive data in different database formats. To succeed in this role, you will need experience with multiple database formats such as Oracle, DB2, SQL and cloud databases. You will also require expert knowledge in SQL. In addition, you should have some scripting experience, preferably with IBM Datastage. If this role sounds like the right opportunity for you, please send your CV I look forward to hear from you! We will endeavour to respond to your application ASAP. However, there may be times when it is not possible to reply to all applications, due to high volumes of enquiries. This is sometimes the case for unsuccessful applications to one of our vacancies. We apologise for this and can reassure you that we will keep your details and contact you in the future should any suitable positions arise. Amoria Bond operates as an employment agency and employment business. No terminology in this advert is intended to discriminate on the grounds of age or experience, and we confirm that we are happy to accept applications from persons of any age or experience for this role. #LI-SV2",13 september 2016,-,18,39 / 6778,Quick and efficient response. Eduard  was  very helpful even though I was not a 100% match for the role,Stephan van Lammeren,,J124752_1684760899,
Senior Linux Engineer,Open (sinds 22-05-2023 15:17),22-05-2023 15:17,12 ingelogde gebruikers,0 reacties,30-05-2023,"In overleg, Den-Haag",01-08-2023,24 maanden  (optie tot verlenging),32 - 38,in overleg,Freelance / ad interim,"Goed functionerende communicatiemiddelen tijdens een missie zijn van levensbelang. Jij zorgt ervoor dat deze IT-middelen zowel betrouwbaar als veilig zijn. Hoe? Door als Senior Linux Engineer de besturingssystemen te installeren, te configureren en te onderhouden. Je werkt hierbij samen met andere developers, een product owner, scrummaster en QA Engineer. Waar je de eindklant bij gaat helpen:CI/CD deployment modelleren; Schrijven en beheren van Puppet-rollen en Ansible playbooks; (Detail)design en models; Ophalen gebruikersbehoeften- en/of probleemstellingen; Uitwerken van functionele requirements en user stories tot verschillende deliverables; Verbeteren werkpakket en evalueren testresultaten; Evalueren design met de key users, stakeholders en eindgebruikers; Automatisering en patching in AWX; Automatisering en implementatie van RHEL, RedHat, IPA, Anisble, Puppet, VMWare, NSX-T, LVM, PKI, NFS. Meenemen en inwerken Junior Linux Engineers;Wat je voor deze functie nodig hebt:Minimaal 3 jaar werkervaring met opleveren (detail)design; Minimaal 3 jaar werkervaring met gebruikersbehoeften inventariseren en vervolgens vertalen; Een PCEP-certificaat; Een Linux Prof Institue 201, 102 en 101 certificaat Minimaal 3 jaar werkervaring met Linux-besturingssystemen technisch-inhoudelijk ontwikkelen binnen een organisatie met minimaal 500 medewerkers; Minimaal 3 jaar werkervaring met: RHEL, Red Hat OpenStack, Virtualization, OpenShift, Satellite, Ceph Storage, Kubernetes, (Free)IPA, Zabbix, Sensu, Prometheus, Thanos, Check MK, Python, Juniper EX, Cisco ACI, Nginx, Apache, PowerDNS, BIND, Postfix; Ervaring met Grafana, MySQL / MariaDB, InfluxDB.Wanneer je een streepje voor hebt:Als je bij voorkeur ervaring hebt met andere Linux distributies (CentOS, Debian, Ubuntu); Als je bij voorkeur ervaring hebt met Docker; Als je bij voorkeur ervaring hebt met Helm, Vault, Terraform; Als je bij voorkeur minimaal 2 jaar werkervaring hebt binnen een publieke organisatie van 500 medewerkers of meer; Als je bij voorkeur minimaal 4 jaar ervaring hebt in projecten zelfstandig oppakken en afronden.Functieduur en screeningJe gaat een interim-functie bij Defensie vaak aan voor een langere periode (1-4 jaar); Voor deze functie doorloop je een screening die ongeveer 8-10 weken duurt.Hero is trotse mantelpartij voor het Ministerie van Defensie. Als mantelpartij schakel je direct met de opdrachtgever. Er zit dus geen partij tussen. Hierdoor voorkom je ketenvorming en houd je de lijntjes kort.",11 maart 2007,-,31,45 / 7290,Snelle reactie,Bob Kroezen,Ministerie van Defensie,,
Technisch Applicatie Beheerder,Open (sinds 22-05-2023 15:07),22-05-2023 15:07,25 ingelogde gebruikers,0 reacties,29-05-2023,"In overleg, Remote / Utrecht",17-07-2023,12 maanden  (optie tot verlenging),36,80 tot 100 per uur,Freelance / ad interim,"We zoeken een Technisch Applicatie Beheerder voor een mooie langdurige opdracht.Ook als je de komende maanden beschikbaar komt kun je reageren op deze opdracht.Je gaat upgrades en patches testen en implementeren op het platform en je bent, samen met betrokkenen, verantwoordelijk voor de afhandeling van incidenten en problemen. DoelstellingVoortdurende actualisatie en optimalisatie van alle technische (middleware) componenten.Samenwerken met en ondersteunen van de afdeling waar de infrastructuur wordt gehost.Beheer en life-cylce management van alle softwarematige componenten, denk aan updates, documentatie, patchen, her-installatie procedure, monitoring en incident/problem management. VerantwoordelijkhedenSamen met betrokkenen, verantwoordelijk voor de instandhouding, stabiliteit en continuïteit van het platform.Verantwoordelijk voor het testen en implementeren van upgrades / patches etc. op het platform.Je bent, samen met de betrokkenen, verantwoordelijk voor de afhandeling van incidenten en problemen..Werkt intensief samen met Hosting en het OPS team.In staat om aan te geven aan welke informatie of kennis je behoefte hebt.In staat om zelf binnen de organisatie je zaken te regelen en te netwerken.Kennis borgen in documentatie en overdragen aan je collega’s.Uitvoeren van applicatiebeheer taken. Eisen / Knock-outcriteriaWerkervaring met Linux in een datacenteromgeving.Werkervaring met Python en Bash.Werkervaring metCassandra, Hadoop, Elasticsearch, Kafka en/of Postgres.Vloeiend Nederlands spreken, lezen en schrijven. Wensen / GunningscriteriaWerkervaring met Agile, CI/CD en DevOps/GitOps.Onze opdrachtgever hecht aan een persoonlijke motivatie voor deze opdracht.Beschrijf in ieder geval je persoonlijke motivatie voor deze opdracht per Eis en Wens.",10 maart 2011,-,3,13 / 393,Ik heb gereageerd op een opdracht en kreeg dezelfde dag schriftelijk reactie. Een dag later spraken we elkaar telefonisch,Jack van Langevelde,Overheid,202305224913TAB,
InfraStructuur Engineer Automatiseringen,Open (sinds 22-05-2023 15:01),22-05-2023 15:01,28 ingelogde gebruikers,0 reacties,01-06-2023,"Ja, Driebergen",01-08-2023,12 maanden  (optie tot verlenging),36,per uur,Freelance / ad interim, Referentienummer2023-02921 OmgevingDriebergen Startdatum01 augustus 2023 (let op: screeningsperiode van ca. 6-15 weken voorafgaand) Einddatum31 juli 2024 ,,,,,,,,2023-02921,
Azure Data Engineer,Open (sinds 22-05-2023 12:59),22-05-2023 12:59,40 ingelogde gebruikers,4 reacties,29-05-2023,"In overleg, Amsterdam",Zo snel mogelijk,12 maanden  (optie tot verlenging),32 - 36,in overleg,Payroll,LET OP: alleen beschikbaar voor detacheerders of via Pay-roll! De eindklant is op zoek naar een enthousiaste Azure Data Engineer die het MoMaS Effecteneiland Team van de ICT afdeling bij de eindklant kan versterken,,,,,,,,Nick Weishaupt,
DevOps/Cloud Engineer,Open (sinds 22-05-2023 12:54),22-05-2023 12:54,44 ingelogde gebruikers,1 reactie,,"Ja, Utrecht (province)",Zo snel mogelijk,1 jaar  (optie tot verlenging),36 - 40,in overleg,Freelance / ad interim,"We are looking for enthusiastic & experienced DevOps employees who want to form the basis for realizing these search and language support services for the daily use of many tens of thousands of employees. You will be part of a DevOps team and, together with the other team members, you will be responsible for the realization and management of the Enterprise Search and Language Support systems within the Defense Private Cloud Platform (PCP). Duties includeTechnical design and management of the (cloud) environments Setting up security, authorizations Performing upgrades (new versions of Elasticsearch components) and updates (patches) Logging, monitoring, optimization of the environments Set up and use CI/CD, automate manual actions Release Management, Capacity Management Set up management processes Enterprise Search and Language Support enable employees and specific business applications to find and access information more effectively and efficiently.This assignment requires experience as a DevOps/Cloud engineer in areas such as handling large amounts of data, authorization and authentication, logging and auditing. Other areas of knowledge/educational trainingCloud Native concepts / techniques in general – IaaS / PaaS concepts & integration Apply and use security techniques such as RBAC, LDAP, Active Directory, Kerberos, SAML, TLS, SSH, HTTPS etc.. DNS setup ( Domain Name System) Load balancing and other HA techniques Scripting, especially PowerShell and Python Security techniques, encryption Zoning & Segmentation concepts of applications & data CI-CD techniques / release management Version control / source code & configuration files => GitLab & Git client Dashboarding & visualization, signaling (alerting) and reports including Logstash, Kibana, Grafana (JavaScript / TypeScript), Dash (Python) Logstash, Kibana Systran Supporting tooling for monitoring / logging, antivirus, etc. Compute, network, storage design concepts Baseline Government Information Security (BIO) ",13 februari 2004,-,3,4 / 1544,Prima communicatie met Sergiy. Hij is professioneel en komt afspraken na.,Akkodis Recruitment Team,,,
