job_title,Publicatiedatum,Weergaven,Reacties,Startdatum,Looptijd,Aantal uur,Tarief,Contract,Eindklant,description,Geplaatst door,url
Big Data Engineer,2025-03-13 15:30,71 keer bekeken,4 reacties ontvangen,zo snel mogelijk starten,6 maanden,32 - 40 uur per week,In overleg,Freelance,,"Voor onze eindklant zijn wij op zoek naar een Big Data EngineerStartdatum: Z.S.M.Einddatum: 11-09-2025 Locatie: Utrecht, hybrideAantal uren per week: 32-40 uur Zowel Nederlands als Engelstalige kandidaten mogelijkReageren:Motivatie vereist Reageren kan tot: 18-03 voor...",?,https://mijn.freelance.nl/opdracht-vinden/opdracht/1117221
Technisch Beheerder PAM,2025-03-13 14:43,22 keer bekeken,0 reacties ontvangen,2025-06-01,12 maanden (optie tot verlenging),38 - 40 uur per week,In overleg,Freelance,Ministerie van Defensie,Wat ga je doen?Als Senior Technisch Beheerder PAM heb je een belangrijke rol in het waarborgen van de veiligheid en efficiëntie van de PAM-omgeving. Jouw taken omvatten:Beheren en optimaliseren van de PAM (Privileged Access Management) applicatie.Onboarden...,?,https://mijn.freelance.nl/opdracht-vinden/opdracht/1117209
Technisch Beheerder IAM/Ansible/Powershell,2025-03-13 12:40,33 keer bekeken,1 reactie ontvangen,2025-06-01,12 maanden (optie tot verlenging),38 uur per week,In overleg,Freelance,Defensie,"Voor onze eindklant in Den Helder zijn wij op zoek naar een Technisch Beheerder met kennis van IAM/Ansible/Powershell start 1 juni!Offsite werken bespreekbaarJa. Toelichting: Eerste drie maanden minimaal 3 dagen per week op locatie Den Helder, daarna in overleg met het teamVGB Niveau BStart 1 juni 2025Duur tot zondag 31 mei 2026 met optie op verlengingUren 38 uurLocatie Den helderOpdrachtomschrijvingAls Technisch beheerder (2 FTE) ben je verantwoordelijk voor het beheren van de PAM (Privileged Acces Management) applicatie. Samen met andere beheerders (zowel functioneel als technisch) als ook ontwerpers draag je zorg voor het goed functioneren van de gehele PAM bouwsteen, het onboarden van nieuwe applicaties als ook het bouwen van connecties tussen de te onboarden applicaties en de PAM tooling.Naast het in beheer houden van onze PAM-bouwsteen moet deze ook constant bij de tijd blijven en blijvend worden vernieuwd, om ons zo goed mogelijk te beschermen. Naast het beschermen het routeren van passwords van beheerders, ligt ook veel aandacht op het goed beschermen van secrets van applicaties/machines. Hiervoor zijn we op zoek naar een ervaren technisch beheerder die helemaal thuis is in de wereld vaninformatie beveiliging en van PAM in het bijzonder. In deze functie ben je verantwoordelijk voor het uitvoeren van diverse beheerders taken, waaronder het doorvoeren van updates, het bouwen van connecties en het onboarden van applicaties. Je neemt tijdens je werkzaamheden een ondernemende houding aan. Je bent in staat om snel te schakelen tussen verschillende teams en omgevingen om een compleet beeld te krijgen van de situatie. Je zoekt actief naar oplossingen en bent een luisterend oor bij problemen, doorcreatieve en innovatieve benaderingen te gebruiken in samenwerking met het team. Voor de vernieuwing en verbetering ben je technisch in staat vooruit te denken en mee te werken om de huidige processen te verbeteren.. Tot slot ben je sociaal gedreven en schakelt makkelijk met andere disciplines en afdelingen en bent in staat om zelf kennis uit te breiden. De ideale kandidaat is zeer ervaren in het PAM vakgebied en gaat graag complexe uitdagingen aan. Hij/zij heeft een nieuwsgierige, proactieve houding, deelt met enthousiasme zijn/haar kennis met de betrokken collega’s en teams. Hij/zij is een “ selfstarter”, oppert nieuwe ideeen, is zeerervaren met firewalls en netwerken, en is niet bang om andere afdelingen pro actief op te zoeken om zo resultaten te boeken.Hij/zij heeft bij affiniteit met de wereld van PAM, IAM en IT.Achtergrond opdrachtBinnen het JIVC bestaat de afdeling Generieke IT & Infra (COMMIT) en deze is samen met de andere afdelingen van de functionele en operationele IT dé Defensieleverancier van complete systemen, applicaties, trainers en simulatoren voor de krijgsmacht in het betreffendedomein. De afdeling draagt op basis van diepgaande kennis van bedrijfsvoering, gebruikers- en instandhoudingsprocessen bij aan de vertaling van eisen en wensen naar concrete specificaties t.b.v PAM en IAM software. De afdeling is daarnaast ook verantwoordelijk voor het in stand houden van deze systemen. De kandidaat heeft bij voorkeur ervaring en kennis van de volgende onderwerpen om zijn/haar werkzaamheden uit te voeren: -zeer ervaren en gedreven beheerder-PAM tooling,-beveiligen van secrets van machines-firewals en netwerken-Cloud ontwikkelingen-container technologie-DEV OPS als ook projectmatige manier van werken-Heeft een luisterend oor, is proactief, volhardend en is doortastendSamenvattende opgave en missieBeheert ICT-systeemcomponenten om te voldoen aan de servicevereisten. Installeert software, configureert en verbetert ICT-systemen. Beheert de dagelijkse activiteiten om te voldoen aan de continuïteit van service,herstel, beveiliging en prestatiebehoeften.TakenSysteemgerelateerde problemen onderzoeken, diagnosticeren en oplossenSoftware installeren en upgradenTest upgradesPlan installatie werkzaamheden om verstoring te minimaliserenDiagnose en oplossing van hardware- of softwareproblemenVoldoen aan de organisatieprocedures om de integriteit en veiligheid van het systeem te waarborgenEisenKandidaat heeft minimaal 3 jaar ervaring als Technisch IT Beheerder in complexe omgevingen.Kandidaat heeft ervaring met Powershell, Ansible: 3 jaarKandidaat heeft ervaring met Identity en Access Management: 3 jaarKandidaat heeft minimaal 2 jaar ervaring met container technologie, zoals Docker of Kubernetes.Kandidaat heeft minimaal 2 jaar ervaring met DEV OPS.WensenKandidaat heeft minimaal 5 jaar aantoonbare werkervaring binnen PAM en Identity and Access Managementkandidaat heeft ervaring met networking, firewalls en PAM.Kandidaat is klantgereicht en heeft consultancy skills.Kandidaat heeft ervaring met IT Automation tools zoals Ansible of AWX.Kandidaat heeft ervaring met Scripting zoals Powershell of Python.Graag ontvangen wij passende profielen voorzien van motivatie.Met vriendelijke groet,Sabine KnopperDelivery ManagerCaesar Overheid",Sabine Knopper,https://mijn.freelance.nl/opdracht-vinden/opdracht/1117190
Sr. Beheerder PAM,2025-03-13 11:56,22 keer bekeken,0 reacties ontvangen,2025-06-01,13 maanden,38 uur per week,In overleg,Freelance,Ministerie van Defensie,"Opdrachtomschrijving:Als Technisch beheerder (2 FTE) ben je verantwoordelijk voor het beheren van de PAM (Privileged Acces Management) applicatie. Samen met andere beheerders (zowel functioneel als technisch) als ook ontwerpers draag je zorg voor het goed functioneren van de gehele PAM bouwsteen, het onboarden van nieuwe...",?,https://mijn.freelance.nl/opdracht-vinden/opdracht/1117173
Software Architect/sr Software developer,2025-03-13 11:51,87 keer bekeken,5 reacties ontvangen,zo snel mogelijk starten,3 maanden (optie tot verlenging),24 - 40 uur per week,In overleg,Freelance,,Voor een van onze opdrachtgevers in de regio Arnhem zoeken wij een vlotte Software Architect bij een vooraanstaande organisatie in de duurzame afvalinzameling.Over de rolAls Software Architect speel je een sleutelrol in de ontwikkeling van een toekomstbestendig platform voor efficiënte en duurzame afvalinzameling....,?,https://mijn.freelance.nl/opdracht-vinden/opdracht/1117168
Identity & Access Management Data Scientist,2025-03-13 11:44,60 keer bekeken,0 reacties ontvangen,2025-04-14,9 maanden (optie tot verlenging),36 uur per week,In overleg,Freelance,Het Havenbedrijf Rotterdam,Voor een eindklant zijn wij op zoek naar een Identity & Access Management Data Scientist Startdatum: 14-4-2025Einddatum: 31-12-2025Optie: ja in overlegUren per week: 36Intake datum: 26 of 27-3Locatie: RotterdamAanvraag sluit op 24-3 om 9:00 uur De eindklant is actief...,?,https://mijn.freelance.nl/opdracht-vinden/opdracht/1117162
Kubernetes engineer,2025-03-13 11:38,40 keer bekeken,1 reactie ontvangen,zo snel mogelijk starten,6 maanden,32 - 40 uur per week,In overleg,Freelance,,"Wij zijn op dit moment op zoek naar een Kubernetes engineer voor een initieel 6 maands contract bij onze klant in BrabantKubernetes EngineerJouw impact in deze rol van Kubernetes Engineer? Het toepassen van cloud native infrastructuur, Infrastructure as Code en CI/CD. En vraagbaak voor collega's als het gaat om Kubernetes. Wil je jouw kennis...",?,https://mijn.freelance.nl/opdracht-vinden/opdracht/1117159
Senior Beheerder PAM/IAM,2025-03-13 11:25,25 keer bekeken,0 reacties ontvangen,2025-06-01,12 maanden,38 - 40 uur per week,In overleg,Freelance,Ministerie van Defensie,Wij leveren als mantelpartij rechtstreeks aan de eindklant! ProfielAls Technisch beheerder (2 FTE) ben je verantwoordelijk voor het beheren van de PAM (Privileged Acces Management) applicatie. Samen met andere beheerders (zowel functioneel als technisch) als ook ontwerpers draag je zorg voor het goed functioneren van de gehele...,?,https://mijn.freelance.nl/opdracht-vinden/opdracht/1117151
Ansible Engineer,2025-03-13 11:20,46 keer bekeken,3 reacties ontvangen,2025-05-01,12 maanden (optie tot verlenging),36 - 40 uur per week,In overleg,Freelance,Defensie,"Voor deze exclusieve opdracht zijn wij opzoek naar een Ansible Engineer.Als Ansible Developer ben je verantwoordelijk voor het automatiseren, beheren en optimaliseren van IT-infrastructuren met behulp van Ansible. Je werkt nauw samen met DevOps-teams en systeembeheerders om efficiënte en schaalbare automatiseringsoplossingen te ontwikkelen....",?,https://mijn.freelance.nl/opdracht-vinden/opdracht/1117146
Containerization Engineer,2025-03-13 11:11,31 keer bekeken,1 reactie ontvangen,zo snel mogelijk starten,6 maanden,32 - 40 uur per week,"€ 60,00 - € 80,00 Per uur",Freelance,,"Functieomschrijving:Als Kubernetes Engineer ben je verantwoordelijk voor het ontwikkelen en onderhouden van de Containerization omgeving, gebaseerd op Kubernetes. Kennis van cloud omgevingen (AWS), cost management, veiligheid en betrouwbaarheid zijn een grote must. Project Details:* Arbeidsvorm: Freelance",?,https://mijn.freelance.nl/opdracht-vinden/opdracht/1117131
